destroyer,The Destroyer,毁灭者,0,https://baike.baidu.com/item/%E6%AF%81%E7%81%AD%E8%80%85/22841055,,,,,,,
malekith,Malekith,玛勒基斯,0,https://baike.baidu.com/item/%E7%8E%9B%E5%8B%92%E5%9F%BA%E6%96%AF/20484739?fr=aladdin,,,,,,,
algrim,Algrim,阿尔戈里姆,0,https://baike.baidu.com/item/%E9%98%BF%E5%B0%94%E6%88%88%E9%87%8C%E5%A7%86,,,,,,,
bor,Bor,博尔,0,https://baike.baidu.com/item/%E5%8D%9A%E5%B0%94/19286293,,,,,,,
hela,Hela,海拉,0,https://baike.baidu.com/item/%E6%B5%B7%E6%8B%89/20589992,,,,,,,
valk,Valkyrie,瓦尔基里,0,https://baike.baidu.com/item/%E7%93%A6%E5%B0%94%E5%9F%BA%E9%87%8C/20592995,,,,,,,
skurge,Skurge,斯科尔奇,0,https://baike.baidu.com/item/%E6%96%AF%E7%A7%91%E5%B0%94%E5%A5%87?fromtitle=Skurge&fromid=22617538,,,,,,,
korg,Korg,寇格,0,https://baike.baidu.com/item/%E5%AF%87%E6%A0%BC,,,,,,,
surtur,Surtur,苏尔特尔,0,https://baike.baidu.com/item/%E8%8B%8F%E5%B0%94%E7%89%B9%E5%B0%94/22186289,,,,,,,
bucky,Bucky Barnes,詹姆斯·布坎南·巴恩斯,0,https://baike.baidu.com/item/%E8%A9%B9%E5%A7%86%E6%96%AF%C2%B7%E5%B8%83%E5%9D%8E%E5%8D%97%C2%B7%E5%B7%B4%E6%81%A9%E6%96%AF,,,,,,,
dumdum,Dum Dum Dugan,达姆弹·杜根,0,https://baike.baidu.com/item/%E8%BE%BE%E5%A7%86%E5%BC%B9%C2%B7%E6%9D%9C%E6%A0%B9?fromtitle=Dum+Dum+Dugan&fromid=49991383,,,,,,,
chesterp,Chester Phillips,切斯特·菲利普斯,0,https://baike.baidu.com/item/%E5%88%87%E6%96%AF%E7%89%B9%C2%B7%E8%8F%B2%E5%88%A9%E6%99%AE%E6%96%AF,,,,,,,
abrahame,Abraham Erskine,亚伯拉罕·厄斯金,0,https://baike.baidu.com/item/%E4%BA%9A%E4%BC%AF%E6%8B%89%E7%BD%95%C2%B7%E5%8E%84%E6%96%AF%E9%87%91,,,,,,,
johanns,Johann Schmidt,约翰·施密特,0,https://baike.baidu.com/item/%E7%BA%A6%E7%BF%B0%C2%B7%E6%96%BD%E5%AF%86%E7%89%B9/5950771,,,,,,,
arnimz,Arnim Zola,阿尼姆·佐拉,0,https://baike.baidu.com/item/%E9%98%BF%E5%B0%BC%E5%A7%86%C2%B7%E4%BD%90%E6%8B%89,,,,,,,
alexanderp,Alexander Pierce,亚历山大·皮尔斯,0,https://baike.baidu.com/item/%E4%BA%9A%E5%8E%86%E5%B1%B1%E5%A4%A7%C2%B7%E7%9A%AE%E5%B0%94%E6%96%AF,,,,,,,
brockr,Brock Rumlow,交叉骨,0,https://baike.baidu.com/item/%E4%BA%A4%E5%8F%89%E9%AA%A8/15390765,,,,,,,
sharonc,Sharon Carter,莎朗·卡特,0,https://baike.baidu.com/item/%E8%8E%8E%E6%9C%97%C2%B7%E5%8D%A1%E7%89%B9?fromtitle=Sharon+Carter&fromid=22595505,,,,,,,
georgesb,Georges Batroc,跳跃者巴托克,0,https://baike.baidu.com/item/%E8%B7%B3%E8%B7%83%E8%80%85%E5%B7%B4%E6%89%98%E5%85%8B,,,,,,,
tchalla,T'Challa,特查拉,https://www.wanweibaike.com/wiki-%E9%BB%91%E8%B1%B9_(%E6%BC%AB%E7%95%AB),https://baike.baidu.com/item/%E7%89%B9%E6%9F%A5%E6%8B%89,,,,,,,
tchaka,T'Chaka (Old),特查卡,0,https://baike.baidu.com/item/%E7%89%B9%E6%9F%A5%E5%8D%A1/22406542,,,,,,,
everettr,Everett Ross,埃弗雷特·罗斯,0,https://baike.baidu.com/item/%E5%9F%83%E5%BC%97%E9%9B%B7%E7%89%B9%C2%B7%E7%BD%97%E6%96%AF,,,,,,,
helmutz,Helmut Zemo,赫尔穆特·泽莫,0,https://baike.baidu.com/item/%E8%B5%AB%E5%B0%94%E7%A9%86%E7%89%B9%C2%B7%E6%B3%BD%E8%8E%AB,,,,,,,
thanos,Thanos,灭霸,https://www.wanweibaike.com/wiki-%E7%81%AD%E9%9C%B8,https://baike.baidu.com/item/%E7%81%AD%E9%9C%B8,,,,,,,
peterq,Peter Quill,星爵,https://www.wanweibaike.com/wiki-%E6%98%9F%E7%88%B5,https://baike.baidu.com/item/%E6%98%9F%E7%88%B5/4574975,,,,,,,
gamora,Gamora,卡魔拉,https://www.wanweibaike.com/wiki-%E8%91%9B%E6%91%A9%E8%8F%88,https://baike.baidu.com/item/%E5%8D%A1%E9%AD%94%E6%8B%89%C2%B7%E8%B4%9E%C2%B7%E5%BF%BD%E8%B4%9D%E8%8E%89%C2%B7%E6%9C%AC%C2%B7%E6%B3%B0%E5%9D%A6/20726042?fromtitle=%E5%8D%A1%E9%AD%94%E6%8B%89&fromid=15905280,,,,,,,
drax,Drax,毁灭者德拉克斯,https://www.wanweibaike.com/wiki-%E5%BE%B7%E5%85%8B%E6%96%AF_(%E6%BC%AB%E5%A8%81),https://baike.baidu.com/item/%E4%BA%9A%E7%91%9F%C2%B7%E6%A1%91%E6%99%AE%E6%A3%AE%C2%B7%E9%81%93%E6%A0%BC%E6%8B%89%E6%96%AF/20787614,,,,,,,
rocket,Rocket,火箭浣熊,https://www.wanweibaike.com/wiki-%E7%81%AB%E7%AE%AD%E6%B5%A3%E7%86%8A,https://baike.baidu.com/item/%E7%81%AB%E7%AE%AD%E6%B5%A3%E7%86%8A/16003826,,,,,,,
groota,Groot (Adult),格鲁特,https://www.wanweibaike.com/wiki-%E6%A0%BC%E9%B2%81%E7%89%B9,https://baike.baidu.com/item/%E6%A0%BC%E9%B2%81%E7%89%B9/15275848,,,,,,,
yonduu,Yondu Udonta,勇度,https://www.wanweibaike.com/wiki-%E5%8B%87%E5%BA%A6,https://baike.baidu.com/item/%E5%8B%87%E5%BA%A6/16927593,,,,,,,
nebula,Nebula,星云,https://www.wanweibaike.com/wiki-%E6%B6%85%E5%B8%83%E6%8B%89_(%E6%BC%AB%E5%A8%81%E6%BC%AB%E7%95%AB),https://baike.baidu.com/item/%E6%98%9F%E4%BA%91/18278820?fr=aladdin,,,,,,,
ronan,Ronan,罗南,https://www.wanweibaike.com/wiki-%E6%8E%A7%E8%A8%B4%E8%80%85%E7%BE%85%E5%8D%97,https://baike.baidu.com/item/%E6%8C%87%E6%8E%A7%E8%80%85%C2%B7%E7%BD%97%E5%8D%97/16926518,,,,,,,
korath,Korath,齐塔瑞,0,https://baike.baidu.com/item/%E9%BD%90%E5%A1%94%E7%91%9E%E4%BA%BA/22599313,,,,,,,
collector,Taneleer Tivan,收集者,0,https://baike.baidu.com/item/%E6%94%B6%E9%9B%86%E8%80%85/2277927,,,,,,,
carina,Carina,黄蜂女,https://www.wanweibaike.com/wiki-%E9%BB%83%E8%9C%82%E5%A5%B3,https://cn.bing.com/search?q=%E6%BC%AB%E5%A8%81carina&qs=n&form=QBRE&sp=-1&pq=&sc=0-0&sk=&cvid=E66B2FB0D42D43C59534F4301486E774,,,,,,,
rhomannd,Rhomann Dey,罗曼·戴,0,https://baike.baidu.com/item/%E7%BD%97%E6%9B%BC%C2%B7%E6%88%B4/22878779,,,,,,,
iranir,Irani Rael,伊拉尼·雷尔,0,https://baike.baidu.com/item/%E4%BC%8A%E6%8B%89%E5%B0%BC%C2%B7%E9%9B%B7%E5%B0%94,,,,,,,
howardd,Howard The Duck,霍华德怪鸭,0,https://baike.baidu.com/item/%E9%9C%8D%E5%8D%8E%E5%BE%B7%E6%80%AA%E9%B8%AD/15882680?fr=aladdin,,,,,,,
mantis,Mantis,螳螂,0,https://baike.baidu.com/item/%E8%9E%B3%E8%9E%82/17631513?fr=aladdin,,,,,,,
ego,Ego,伊戈,https://www.wanweibaike.com/wiki-%E6%B4%BB%E9%AB%94%E6%98%9F%E7%90%83%E4%BC%8A%E6%9E%9C,https://baike.baidu.com/item/%E8%87%AA%E6%88%91/20105409?fr=aladdin,,,,,,,
stakaro,Stakar Ogord,星辰鹰,0,https://baike.baidu.com/item/%E6%98%9F%E8%BE%B0%E9%B9%B0/20826741,,,,,,,
martinex,Martinex,银影侠,https://www.wanweibaike.com/wiki-%E9%93%B6%E5%BD%B1%E4%BE%A0,https://baike.baidu.com/item/%E9%A9%AC%E4%B8%81%E5%86%85%E5%85%8B%E6%96%AF/17644532?fr=aladdin,,,,,,,
charlie,Charlie-27,查理-27,0,https://baike.baidu.com/item/%E6%9F%A5%E7%90%86-27/20469666?fr=aladdin,,,,,,,
aletao,Aleta Ogord,格鲁特,https://www.wanweibaike.com/wiki-%E6%A0%BC%E9%B2%81%E7%89%B9,https://baike.baidu.com/item/%E6%A0%BC%E9%B2%81%E7%89%B9/15275848?fr=aladdin,,,,,,,
scottl,Scott Lang,蚁人,https://www.wanweibaike.com/wiki-%E5%8F%B2%E8%80%83%E7%89%B9%C2%B7%E6%9C%97%E6%81%A9,https://baike.baidu.com/item/%E6%96%AF%E7%A7%91%E7%89%B9%C2%B7%E6%9C%97/18836064,,,,,,,
hankp,Hank Pym,初代蚁人,https://www.wanweibaike.com/wiki-%E4%BA%A8%E5%88%A9%C2%B7%E7%9A%AE%E5%A7%86,https://baike.baidu.com/item/%E4%BA%A8%E5%88%A9%C2%B7%E4%B9%94%E7%BA%B3%E6%A3%AE%C2%B7%E7%9A%AE%E5%A7%86/22078631?fr=aladdin,,,,,,,
cassiel,Cassie Lang,黄蜂侠,https://www.wanweibaike.com/wiki-%E9%BB%83%E8%9C%82%E6%88%B0%E5%A3%AB_(%E6%BC%AB%E5%A8%81%E6%BC%AB%E7%95%AB),https://baike.baidu.com/item/%E5%87%AF%E8%8C%9C%C2%B7%E6%9C%97/19720009?fr=aladdin,,,,,,,
stephens,Stephen Strange,奇异博士,https://www.wanweibaike.com/wiki-%E5%A5%87%E7%95%B0%E5%8D%9A%E5%A3%AB,https://baike.baidu.com/item/%E5%A5%87%E5%BC%82%E5%8D%9A%E5%A3%AB/17573895,,,,,,,
karlm,Karl Mordo,莫度男爵,https://www.wanweibaike.com/wiki-%E8%8E%AB%E5%BA%A6%E7%94%B7%E7%88%B5,https://baike.baidu.com/item/%E8%8E%AB%E5%BA%A6%E7%94%B7%E7%88%B5/18060585,,,,,,,
anciento,Ancient One,古一,https://www.wanweibaike.com/wiki-%E5%8F%A4%E4%B8%80,https://baike.baidu.com/item/%E5%8F%A4%E4%B8%80/18067179,,,,,,,
kaecilius,Kaecilius,卡西利亚斯,0,https://baike.baidu.com/item/%E5%8D%A1%E8%A5%BF%E5%88%A9%E4%BA%9A%E6%96%AF/23590080,,,,,,,
christinep,Christine Palmer,克里斯汀·帕尔默,0,https://baike.baidu.com/item/%E5%85%8B%E9%87%8C%E6%96%AF%E6%B1%80%C2%B7%E5%B8%95%E5%B0%94%E9%BB%98/22611250,,,,,,,
wong,Wong,王,0,https://baike.baidu.com/item/%E7%8E%8B/22518953,,,,,,,
jonathanp,Jonathan Pangborn,乔纳森·斯威夫特,0,https://baike.baidu.com/item/%E4%B9%94%E7%BA%B3%E6%A3%AE%C2%B7%E6%96%AF%E5%A8%81%E5%A4%AB%E7%89%B9/19304844,,,,,,,
dormammu,Dormammu,多玛姆,0,https://baike.baidu.com/item/%E5%A4%9A%E7%8E%9B%E5%A7%86/18060706,,,,,,,
peterp,Peter Parker,彼得·帕克,https://www.wanweibaike.com/wiki-%E5%BD%BC%E5%BE%97%E5%B8%95%E5%85%8B,https://baike.baidu.com/item/%E8%9C%98%E8%9B%9B%E4%BE%A0/34561,,,,,,,
